brand,worth,worth_lo,worth_hi,n_lists
Nike,0.985655,0.981545,0.987481,60
Adidas,0.013724,0.011825,0.016421,60
"Brooks Running",0.000259,0.000060,0.003911,60
Brooks,0.000142,0.000089,0.000204,60
ASICS,0.000076,0.000029,0.000163,60
Asics,0.000060,0.000030,0.000098,60
HOKA,0.000057,0.000003,0.000224,60
"New Balance",0.000017,0.000006,0.000031,60
Saucony,0.000007,0.000002,0.000011,60
Hoka,0.000003,0.000000,0.000012,60
