brand,worth,worth_lo,worth_hi,n_lists
"The North Face",0.977881,0.942259,0.993588,60
Patagonia,0.016857,0.004461,0.046620,60
Arc'teryx,0.002172,0.000410,0.006150,60
Columbia,0.001738,0.000297,0.005848,60
"Columbia Sportswear",0.000931,0.000141,0.003439,60
Marmot,0.000268,0.000038,0.000869,60
"Mountain Hardwear",0.000153,0.000000,0.000364,60
