brand,worth,worth_lo,worth_hi,n_lists
Nike,0.929830,0.800409,0.986488,60
Adidas,0.042141,0.008473,0.082686,60
"Brooks Running",0.013716,0.001435,0.160134,60
ASICS,0.006340,0.000448,0.023176,60
Brooks,0.002131,0.000146,0.008079,60
Saucony,0.001991,0.000149,0.006771,60
"New Balance",0.001660,0.000123,0.005328,60
Asics,0.001499,0.000095,0.006214,60
Mizuno,0.000387,0.000016,0.002012,60
HOKA,0.000234,0.000000,0.000537,60
"On Running",0.000073,0.000000,0.000224,60
