brand,worth,worth_lo,worth_hi,n_lists
Nike,0.991704,0.990561,0.992684,60
Adidas,0.005678,0.004807,0.006489,60
"Under Armour",0.001074,0.000832,0.001289,60
"Jordan Brand",0.001024,0.000374,0.002040,60
Jordan,0.000199,0.000022,0.000930,60
"Mitchell & Ness",0.000182,0.000000,0.000206,60
Converse,0.000072,0.000000,0.000198,60
Puma,0.000061,0.000014,0.000109,60
"New Balance",0.000006,0.000000,0.000026,60
