brand,worth,worth_lo,worth_hi,n_lists
"The North Face",0.960254,0.909475,0.991768,60
Patagonia,0.035774,0.007124,0.081366,60
Arc'teryx,0.001957,0.000236,0.005199,60
"Columbia Sportswear",0.000921,0.000074,0.005096,60
"Canada Goose",0.000618,0.000053,0.002281,60
Columbia,0.000253,0.000024,0.000740,60
"Mountain Hardwear",0.000111,0.000003,0.000468,60
Moncler,0.000092,0.000001,0.000559,60
Marmot,0.000021,0.000001,0.000102,60
