brand,worth,worth_lo,worth_hi,n_lists
"La Sportiva",0.979177,0.000000,0.989809,60
Lange,0.011633,0.000000,0.524693,60
Salomon,0.006515,0.005814,0.854913,60
Rossignol,0.000652,0.000342,0.063514,60
Atomic,0.000526,0.000250,0.058996,60
Nordica,0.000491,0.000245,0.055410,60
Tecnica,0.000476,0.000218,0.054477,60
Fischer,0.000139,0.000042,0.017496,60
Dalbello,0.000133,0.000043,0.016613,60
Scarpa,0.000132,0.000029,0.028285,60
Head,0.000063,0.000007,0.011286,60
Dynafit,0.000062,0.000002,0.015816,60
